year,GPP_NT_VUT_REF_sum,NEE_VUT_REF_QC_mean,P_F_sum,P_F_QC_mean,P_ERA_sum,P_F_jfmam_sum,P_F_QC_jfmam_mean,P_ERA_jfmam_sum,TA_F_mean,TA_F_QC_mean,TA_ERA_mean,PPFD_IN_mean,PPFD_IN_QC_mean,SW_IN_F_mean,SW_IN_F_QC_mean,SW_IN_ERA_mean,VPD_F_mean,VPD_F_QC_mean,VPD_ERA_mean,NETRAD_mean,NETRAD_QC_mean,G_F_MDS_mean,G_F_MDS_QC_mean,LE_F_MDS_mean,LE_F_MDS_QC_mean,LE_CORR_mean,H_F_MDS_mean,H_F_MDS_QC_mean,H_CORR_mean,SWC_F_MDS_1_mean,SWC_F_MDS_1_QC_mean,SITE_ID,keep_year,season,PDSI_mean
1996,1002.04648,0,117.621,0,117.621,200.021,0,200.021,5.83123913,0,5.83123913,NA,0,154.4020978,0,154.4020978,2.885021739,0,2.885021739,NA,NA,NA,NA,73.72780217,0,103.001975,43.71404565,0,61.05879457,NA,NA,BE-Vie,FALSE,Spring,-3.953333333
1997,417.73251,0.901267978,201.397,1,178.918,313.018,1,302.746,7.31725,0.920289902,7.804967391,298.044265,0.89696558,153.610663,0.919384098,157.0015761,3.361130435,0.920289902,3.090554348,98.17480852,0.898324275,0.612661217,0.919610598,25.40011217,0.915534304,32.17564348,50.33858261,0.912137576,64.57733043,29.84211957,0.920289902,BE-Vie,TRUE,Spring,-3.676666667
1998,410.69376,0.915987457,275.785,1,252.366,389.508,1,351.9,7.905076087,0.858695533,8.155684783,228.1166908,0.890172101,128.6767174,0.938405717,140.3965109,3.030184783,0.858016228,3.107945652,88.58391215,0.919384058,0.903444891,0.94859588,23.21121739,0.944746217,38.70078804,30.75865543,0.968749924,50.3702913,28.68981522,0.950633793,BE-Vie,TRUE,Spring,-1.916666667
1999,477.78214,0.959012967,237.601,1,225.906,484.886,1,440.974,8.226630435,0.957427587,8.461076087,281.5466335,0.923233696,150.4048913,0.956069109,155.3104457,3.307717391,0.956522109,2.976826087,95.3305909,0.930932971,1.214575543,0.956521772,30.77031304,0.973505196,49.65777609,28.97950435,0.975317337,46.19070109,28.74288043,0.957427587,BE-Vie,TRUE,Spring,2.033333333
2000,461.22122,0.906929359,327.777,1,258.899,566.036,1,440.048,8.374163043,0.892663109,8.530663043,262.5932987,0.812726449,136.9279891,0.894248087,147.0118261,3.20875,0.892663109,2.881141304,97.34054901,0.825860507,0.43682763,0.8903985,22.20861076,0.945426065,37.5279713,21.55250435,0.967844446,36.12709348,28.08963043,0.892663109,BE-Vie,TRUE,Spring,0.903333333
2001,415.27216,0.936141554,335.788,1,278.534,577.074,1,459.996,7.459521739,0.927536152,7.795934783,273.8174625,0.890172101,138.8584022,0.925498043,150.060913,3.165815217,0.927536152,2.854206522,108.8651204,0.905117754,1.166956413,0.923459989,20.049995,0.942708163,29.31051924,28.77852845,0.966032967,42.21095627,28.69956522,0.927536152,BE-Vie,TRUE,Spring,3.583333333
2002,484.25309,0.970108696,203.49,1,188.633,496.192,1,440.421,7.655358696,0.990036076,8.078869565,292.8030905,0.977355072,153.5021196,0.990715446,156.8464022,3.416054348,0.990036076,3.221347826,105.8856786,0.979166667,0.614953978,0.988677533,27.47866196,0.985733478,50.79919565,29.85484457,0.99184762,55.7665663,28.82031522,0.990036076,BE-Vie,TRUE,Spring,1.756666667
2003,468.86904,0.949728185,196.441,1,218.787,374.6,1,336.89,8.34175,0.942708543,8.64301087,309.8013049,0.932518116,164.3248152,0.943614087,169.8123696,4.517086957,0.942708543,3.751793478,100.8598274,0.933876812,1.061053261,0.941802739,27.51595109,0.982563478,45.17457283,35.18951304,0.997962022,56.46443696,28.73538043,0.942708543,BE-Vie,TRUE,Spring,-1.003333333
2004,506.74624,0.837409217,165.203,1,182.236,360.029,1,356.565,6.999521739,0.877717511,7.230163043,276.5916114,0.775588768,159.331663,0.878396946,161.9888913,3.935336957,0.877264446,3.121880435,90.32222762,0.849184783,3.192602587,0.596920217,27.47996957,0.840126652,42.8871,37.7118913,0.851676011,57.21116522,24.93108696,0.597146848,BE-Vie,TRUE,Spring,-3.406666667
2005,450.9812,0.892436489,206.799,1,208.182,425.548,1,368.986,7.607913043,0.916440239,7.929076087,277.6522588,0.867980072,144.9077826,0.912590641,160.0828587,3.119717391,0.915760935,3.187271739,90.20221622,0.875905797,0.606306424,0.913949261,27.34003043,0.902173848,33.72278152,46.41071522,0.897871315,57.1834,26.5456413,0.916213804,BE-Vie,TRUE,Spring,-1.913333333
