SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
IT-Ro1,Roccarespampani 1,FLUXNET2015,NA,42.40812,11.93001,235,DBF,15.15,876.2,Csa,Rubel,NA,Y,2000,2008,9,"c(2000, 2007)",NA,c(2007),NA,22980.57349,0.610006961,639.5333432,1048.403353
IT-Ro2,Roccarespampani 2,FLUXNET2015,NA,42.39026,11.92093,160,DBF,15.15,876.2,Csa,Rubel,NA,Y,2002,2012,11,c(2009),c(2009),c(2009),NA,20993.77983,0.610006961,639.5333432,1048.403353
IT-SR2,San Rossore 2,ICOS-2020,NA,43.73202,10.29091,4,ENF,15.3,950,Csa,ICOS,NA,Y,2013,2020,8,NA,NA,NA,all looks good,3846.86531,0.887029198,820.7533482,925.2833499
IT-SRo,San Rossore,FLUXNET2015,NA,43.72786,10.28444,6,ENF,14.2,920,Csa,Rubel,NA,Y,1999,2012,14,NA,c(2005),c(2008),NA,3703.538234,0.887029198,820.7533482,925.2833499
IT-Tor,Torgnon,ICOS-2020,NA,45.84444,7.57806,2160,GRA,3.27,945,Dfc,ICOS,NA,Y,2008,2020,13,c(2008),NA,NA,missing 2020 precip,16969.29104,2.565927121,1725.936694,672.6366776
NL-Hor,Horstermeer,FLUXNET2015,CC-BY-4.0,52.24035,5.0713,2.2,GRA,10,800,Cfb,Rubel,NA,Y,2004,2011,8,c(2006),NA,c(2011),NA,12213.64995,1.261728392,827.8200132,656.1000118
NL-Loo,Loobos,ICOS-2018,NA,52.16658,5.74356,25,ENF,9.8,786,Cfb,Rubel,NA,Y,1996,2018,23,"c(1996, 2016)",c(1996),"c(1996, 2018)",low NEE QC values in a few years,9286.269219,1.224990378,795.8966792,649.716678
RU-Fy2,Fyodorovskoye dry spruce,ICOS-2020,CC-BY-4.0,56.4476,32.9019,276,ENF,4.39,668.53,Dfb,Rubel,NA,Y,2015,2020,6,c(2015),NA,NA,low NEE QC in 2015 otherwise good,23882.58277,1.321794661,747.906679,565.8266757
RU-Fyo,Fyodorovskoye,ICOS-2020,NA,56.46153,32.92208,265,ENF,3.9,711,Dfb,Rubel,NA,Y,1998,2020,23,c(1998),c(1998),NA,low NEE QC in 1998 otherwise good,25799.71662,1.321794661,747.906679,565.8266757
SE-Deg,Degero,ICOS-2020,CC-BY-4.0,64.182029,19.556539,270,WET,1.2,523,Dfc,ICOS,NA,Y,2001,2020,20,NA,NA,NA,almost all years look good and some low NEE QC but not really much,12028.3727,1.441775963,653.3600102,453.1633394
