"year","GPP_NT_VUT_REF_sum","NEE_VUT_REF_QC_mean","P_F_sum","P_F_QC_mean","P_ERA_sum","TA_F_mean","TA_F_QC_mean","TA_ERA_mean","PPFD_IN_mean","PPFD_IN_QC_mean","SW_IN_F_mean","SW_IN_F_QC_mean","SW_IN_ERA_mean","VPD_F_mean","VPD_F_QC_mean","VPD_ERA_mean","NETRAD_mean","NETRAD_QC_mean","G_F_MDS_mean","G_F_MDS_QC_mean","LE_F_MDS_mean","LE_F_MDS_QC_mean","LE_CORR_mean","H_F_MDS_mean","H_F_MDS_QC_mean","H_CORR_mean","SWC_F_MDS_1_mean","SWC_F_MDS_1_QC_mean","SITE_ID","keep_year"
2020,395.96147,0.958559902173913,185.059,1,169.939,12.484097826087,1,11.6650869565217,366.157730072464,1,174.949760869565,1,164.027108695652,5.05663043478261,1,4.7241847826087,NA,NA,5.9619025,0.332201239130435,37.7705836956522,1,41.8224130434783,47.3206173913043,0.99864152173913,53.8454956521739,15.397,1,"FI-Var",TRUE
2014,897.81328,0.513813543478261,255.952,0.698595891304348,229.906,19.743152173913,0.8793025,19.5854239130435,NA,0.258152173913043,251.422217391304,0.886549065217391,239.715891304348,6.60603260869565,0.8793025,6.68180434782609,188.779685046369,0.882699275362319,4.06799445652174,0.763813260869565,104.648617391304,0.546422173913043,120.454380434783,52.2231630434783,0.543931054347826,59.9950554347826,NA,NA,"FR-Bil",FALSE
2015,541.25046,0.898324,163.824,0.999547130434783,235.291,20.8048586956522,1,20.8450760869565,678.707716510759,0.752038043478261,262.176173913043,1,257.86427173913,9.08027173913043,1,9.01193478260869,189.698332019517,0.997961956521739,4.51326467391304,1,66.1376902173913,0.915760869565217,68.6810130434783,111.392417391304,0.912590913043478,115.778097826087,NA,NA,"FR-Bil",TRUE
2016,678.82873,0.968523630434783,129.934,0.999094326086957,102.934,19.6846630434783,1,20.1690760869565,613.617376629512,0.799592391304348,247.739902173913,0.996376847826087,247.019554347826,7.49172826086957,1,8.37222826086957,171.112302684913,0.997961956521739,2.59256119565217,1,76.353852173913,0.999320695652174,81.1025652173913,86.1439173913044,0.999773565217391,88.6313836956522,15.5971304347826,1,"FR-Bil",TRUE
2017,704.94516,0.968523619565217,224.158,0.994791739130435,294.004,20.3390543478261,1,20.3737826086957,481.968734356547,0.993885869565217,242.617380434783,0.999094130434783,237.427413043478,7.16882608695652,1,7.4970652173913,172.036318290289,0.999094202898551,4.39243760869565,1,86.8306597826087,0.999547260869565,86.8144434782609,80.7839239130435,0.999547260869565,81.1081391304348,6.03176086956522,1,"FR-Bil",TRUE
2018,659.60136,0.952898630434783,129.161,0.989356891304348,238.197,20.9336739130435,0.999773565217391,21.0248260869565,528.054593325029,0.989356884057971,261.092663043478,1,251.015141304348,7.3345652173913,0.999773565217391,8.49153260869565,185.875414727906,0.997961956521739,4.40803989130435,1,84.4312836956522,0.994338673913043,86.191077173913,97.4587826086956,0.999773565217391,96.6638967391304,13.3801847826087,1,"FR-Bil",TRUE
2019,572.52665,0.901267913043478,155.777,0.997282652173913,141.801,20.7074130434783,1,20.8664239130435,512.540965939984,0.997282608695652,260.665097826087,1,257.79547826087,8.17095652173913,1,9.2715652173913,180.093194758948,0.997282608695652,4.82347967391304,1,64.6699608695652,0.95267222826087,67.9446206521739,103.62832826087,0.952898663043478,108.162123913043,4.90323913043478,1,"FR-Bil",TRUE
2020,704.69597,0.972599652173913,138.038,0.999773695652174,198.459,19.7868369565217,1,19.982597826087,487.281521436976,0.997735507246377,261.702826086957,1,243.503076086957,7.68291304347826,1,7.80063043478261,177.329122652368,0.999773550724638,4.19237315217391,1,100.535684782609,0.999547130434783,92.7690076086957,87.9127858695652,0.999773565217391,80.3,17.7283804347826,1,"FR-Bil",TRUE
2008,474.59406,0.888360347826087,25.4,0.930253706521739,39.894,21.1537608695652,0.894248347826087,20.9328369565217,NA,0.316123188405797,298.009304347826,0.937499956521739,294.118413043478,12.1168152173913,0.894248347826087,11.0945652173913,180.7441840578,0.925951086956522,NA,NA,51.6113913043478,NA,NA,114.52327173913,NA,NA,NA,NA,"FR-FBn",TRUE
2009,393.66566,0.968297054347826,30.063,1,25.868,22.3093369565217,1,21.7457608695652,619.159906606716,0.984827898550725,306.881554347826,1,300.010282608696,13.8514782608696,1,11.3597717391304,182.026942934783,1,NA,NA,31.7339293478261,NA,NA,131.892369565217,NA,NA,NA,NA,"FR-FBn",TRUE
2010,517.19184,0.954483467391304,74.621,0.999547260869565,70.993,21.2115,1,21.2465543478261,NA,0,301.175108695652,1,293.011489130435,11.9000543478261,1,11.1111630434783,183.333563058896,0.999547101449275,NA,NA,52.8443641304348,NA,NA,111.075902173913,NA,NA,NA,NA,"FR-FBn",TRUE
2011,477.95203,0.84442947826087,86.632,0.99818852173913,133.34,20.550902173913,0.999094260869565,20.2570869565217,NA,0,294.451967391304,0.999094260869565,289.841923913044,11.6752934782609,0.999094260869565,10.0575760869565,176.650010438759,0.998414855072464,NA,NA,40.3091032608696,NA,NA,119.658641304348,NA,NA,NA,NA,"FR-FBn",TRUE
2012,486.54971,0.956521913043478,32.128,1,22.956,22.2584456521739,1,21.7472826086957,NA,0,303.325543478261,1,297.950619565217,14.4964456521739,1,12.230902173913,179.699148550725,1,NA,NA,43.9013445652174,NA,NA,111.814934782609,NA,NA,NA,NA,"FR-FBn",TRUE
